PRIORITY,ENABLED,SRC TYPE,SRC GRP,INCLUSION(SRC GRP),SRC,SRC ADDR,UID,TYPE,USER NAME,DEPARTMEMT,AUTH SVR,DST TYPE,DST GRP,INCLUSION(DST GRP),DST,DST ADDR,FQDN,Count,Sub Domain,Auto Collection,SVC GRP,INCLUSION(SVC GRP),SVC,SVC SPEC,SCHEDULE,SCHEDULE SPEC,ACTION,LOGGING,LOG ID,DALIY HIT COUNT,WEEKLY HIT COUNT,MONTHLY HIT COUNT,2MONTHLY HIT COUNT,QUARTERLY HIT COUNT,PROXY ENABLED,PROXY TYPE,PROXY USER,TRANSPARENT PROXY ENABLED,QoS,QoS SPEC,SESSION LIMIT ACTION,SESSION LIMIT,DESC,REVERSIBLE,LOGGID,IPS USE,IPS PROFILE,APPCTL USE,APPCTL PROFILE,WEBFILTER USE,WEBFILTER PROFILE,ANTI-MALSITE USE,ANTI-MALSITE PROFILE,CNC USE,CNC PROFILE,FILE COLLECT USE,ANTI-VIRUS USE,ANTI-VIRUS PROFILE,MOD TIME,DLP USE,DLP PROFILE,UNUSED USE,UNUSED DAY,STREAM USE,SPAMFILTER USE,SPAMFILTER PROFILE,TIMEOUT USE,TIMEOUT,POLICY ID
5,Yes,ADDR,,,DDBackupNAS_192.168.0.210,192.168.0.210/32,,,,,,ADDR,,,all,0.0.0.0/0,,,,,,,DNS,udp 1-65535 53-53,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,200226175823,0,0,153,507,871,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,55
,,ADDR,,,DDERP_192.168.0.150,192.168.0.150/32,,,,,,,,,,,,,,,,,NTP,udp 1-65535 123-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADDR,,,FILESVR_192.168.0.50,192.168.0.50/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yes,ADDR,,,211.241.226.0/24,211.241.226.0/24,,,,,,ADDR,,,DDERP_192.168.0.150,192.168.0.150/32,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,190820094543,0,0,0,7,13,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,54
,,,,,,,,,,,,ADDR,,,DDNAS_EX_61.40.8.26,61.40.8.26/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Yes,ADDR,,,192.168.0.245_BACK,192.168.0.245/32,,,,,,ADDR,,,all,0.0.0.0/0,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Deny,Yes,170421160007,0,0,0,0,1,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,25
,,ADDR,,,DDBackupNAS_192.168.0.210,192.168.0.210/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADDR,,,DDERP_192.168.0.150,192.168.0.150/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADDR,,,FILESVR_192.168.0.50,192.168.0.50/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yes,ADDR,,,192.168.0.34,192.168.0.35/32,,,,,,ADDR,,,all,0.0.0.0/0,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,190108163941,0,0,0,0,0,No,,,No,,,0,1500,,No,,No,default,No,default,Yes,TEST,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,51
